current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Mariah Carey,All I Want For Christmas Is You,Sony Music,74,1,2020-12-18,2020-12-24,2020,12
2,Wham!,Last Christmas,Epic,145,2,2020-12-18,2020-12-24,2020,12
3,Samra & Topic42,Lost,Urban,1,3,2020-12-18,2020-12-24,2020,12
4,Chris Rea,Driving Home For Christmas,Warner Music International,62,4,2020-12-18,2020-12-24,2020,12
5,Melanie Thornton,Wonderful Dream (Holidays Are Coming),X-Cell,121,3,2020-12-18,2020-12-24,2020,12
6,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),Elektra France,19,4,2020-12-18,2020-12-24,2020,12
7,Luciano [DE],Shawty,Locosquad,1,7,2020-12-18,2020-12-24,2020,12
8,Shakin' Stevens,Merry Christmas Everyone,Epic,20,5,2020-12-18,2020-12-24,2020,12
9,Loredana & Ufo361,Kein Hunger,Loredana,1,9,2020-12-18,2020-12-24,2020,12
10,Till Lindemann / David Garrett,Alle Tage ist kein Sonntag,Universal Domestic Vertigo,1,10,2020-12-18,2020-12-24,2020,12
11,24kGoldn feat. Iann Dior,Mood,Columbia,17,1,2020-12-18,2020-12-24,2020,12
12,John & Yoko / The Plastic Ono Band with The Harlem Community Choir,Happy Xmas (War Is Over),EMI,30,10,2020-12-18,2020-12-24,2020,12
13,Michael Bublé,It's Beginning To Look A Lot Like Christmas,Reprise Records,19,6,2020-12-18,2020-12-24,2020,12
14,Luna [DE],Verlierer,Four Music / Treppenhaus,3,3,2020-12-18,2020-12-24,2020,12
15,Ariana Grande,Santa Tell Me,Universal,17,11,2020-12-18,2020-12-24,2020,12
16,Kelly Clarkson,Underneath The Tree,RCA,13,15,2020-12-18,2020-12-24,2020,12
17,Paul McCartney,Wonderful Christmastime,Capitol,16,8,2020-12-18,2020-12-24,2020,12
18,Band Aid,Do They Know It's Christmas?,Mercury,51,1,2020-12-18,2020-12-24,2020,12
19,Queen,Thank God It's Christmas,Universal,21,16,2020-12-18,2020-12-24,2020,12
20,Brenda Lee,Rockin' Around The Christmas Tree,Universal,12,18,2020-12-18,2020-12-24,2020,12
21,Dardan,Ka Je,Hypnotize Entertainment,1,21,2020-12-18,2020-12-24,2020,12
