,words
0,jacket
1,time
2,want
3,away
4,got ta
5,turn
6,night
7,wan na
8,make
9,went
10,even
11,go
12,going
13,please
14,drop
15,catchin
16,fever
17,call
18,came
19,midnight
20,leather
21,couldnt
22,disrespect
23,older
24,pop
25,either
26,pin
27,know
28,doesnt
29,shawty
30,oh
31,gon
32,onto
33,like
34,thing
35,baby
36,bad
37,ive
38,said
39,kissed
40,tripping
41,yeah
42,see
43,tv
44,tonight
45,fresh
46,safe
47,look
48,buyin
49,girl
50,little
51,whenever
52,breathe
53,dont
54,every
55,mama
56,might
57,bit
58,lil
59,whatever
60,trust
61,take
62,wet
63,left
64,ooh
65,learned
66,trap
67,swear
68,new
69,let
70,forget
71,good
72,end
73,point
74,dababy
75,hot
76,next
77,life
78,reputation
79,star
80,kissing
81,habit
82,say
83,one
84,face
85,wa
86,happen
87,bieber
88,car
89,daddy
90,alive
91,black
92,stand
93,id
94,bimmer
95,insatiable
96,type
97,keep
98,meet
99,vein
100,time
101,want
102,bout
103,death
104,got ta
105,always
106,guess
107,woman
108,youre
109,going
110,cant
111,sign
112,young
113,calling
114,kill
115,shed
116,else
117,getting
118,mistake
119,ohoh
120,know
121,around
122,mad
123,oh
124,oohoohoohooh
125,read
126,warn
127,like
128,book
129,maybe
130,made
131,faith
132,half
133,said
134,yeah
135,see
136,tonight
137,heart
138,burned
139,lover
140,thousand
141,ohohoh
142,stupid
143,shes
144,safe
145,fall
146,cross
147,light
148,whats
149,cause
150,little
151,got
152,desire
153,trouble
154,warning
155,written
156,mama
157,brother
158,burn
159,shell
160,couple
161,god
162,much
163,match
164,missed
165,normally
166,brave
167,get
168,somewhere
169,good
170,end
171,lord
172,ever
173,mercy
174,must
175,spell
176,love
177,say
178,one
179,face
180,youve
181,pyromaniac
182,thinking
183,fuel
184,used
185,foolish
186,somehow
187,kind
188,way
189,fire
190,tried
191,aint
192,gasoline
193,daddy
194,fool
195,play
196,put
197,tell
198,singing
199,day
200,well
201,id
202,hurt
203,gone
204,saint
205,crazy
206,saw
207,make
208,always
209,alone
210,back
211,forgiving
212,never
213,wall
214,go
215,young
216,call
217,teacher
218,rely
219,else
220,cared
221,oh
222,kid
223,like
224,thing
225,right
226,yeah
227,would
228,someone
229,cause
230,soul
231,trouble
232,low
233,wouldnt
234,poster
235,eye
236,get
237,lone
238,side
239,stare
240,one
241,face
242,wa
243,wasnt
244,understood
245,lalalalala
246,gon na
247,friend
248,ala
249,outside
250,really
251,cry
252,high
253,praying
254,cool
255,shoulder
256,letting
257,looking
258,need
259,try
260,time
261,find
262,saw
263,open
264,wan na
265,make
266,hear
267,never
268,inside
269,last
270,go
271,numb
272,youre
273,cant
274,swore
275,enough
276,felt
277,ill
278,know
279,oh
280,like
281,tear
282,right
283,baby
284,made
285,feelin
286,feeling
287,give
288,exception
289,break
290,would
291,pourin
292,everything
293,fall
294,think
295,drown
296,caught
297,cause
298,girl
299,talkin
300,got
301,speedin
302,dont
303,might
304,callin
305,treat
306,trust
307,ooh
308,pain
309,eye
310,run
311,get
312,fast
313,thought
314,sick
315,love
316,one
317,wa
318,mind
319,something
320,way
321,feel
322,closer
323,id
324,need
325,talk
326,falling
327,mornin
328,elated
329,control
330,disguise
331,time
332,bona
333,supply
334,night
335,help
336,back
337,make
338,never
339,set
340,babe
341,woah
342,youre
343,rise
344,number
345,sunset
346,compromised
347,spend
348,jet
349,standin
350,around
351,yeah
352,drew
353,late
354,done
355,yumyum
356,light
357,yum
358,head
359,got
360,house
361,every
362,low
363,match
364,fiftyfifty
365,eye
366,lambo
367,fide
368,run
369,get
370,smile
371,stable
372,side
