,words
0,mille
1,faust
2,fette
3,hundert
4,lieblingsfarbe
5,bleiben
6,instinkt
7,sag
8,babylon
9,meim
10,mutter
11,geben
12,riesenteller
13,kunde
14,kunden
15,strassenbande
16,lieferung
17,abend
18,fila
19,niketrikot
20,police
21,purplehazeblunt
22,laufen
23,licht
24,schnapp
25,schassen
26,street
27,auge
28,reguliert
29,komm
30,handgelenk
31,leben
32,haha
33,bruder
34,kilo
35,gefickt
36,weh
37,jungs
38,unterwegs
39,läufer
40,nix
41,tag
42,voll
43,haifisch
44,falscher
45,ausdiskutiern
46,immer
47,53
48,digga
49,hause
50,lügen
51,klärn
52,medaillon
53,zahln
54,kripo
55,kanonn
56,pro
57,benzamg
58,beutejagd
59,grunde
60,20k
61,dope
62,perfekt
63,hosenbund
64,akquiriern
65,einn
66,joint
67,jed
68,187
69,diesel
70,schelln
71,hellwach
72,triathlon
73,kilojayschnapp
74,nachteil
75,goldkette
76,betäubt
77,rein
78,rroah
79,laufe
80,siebzig
81,hahaha
82,tür
83,schnell
84,nem
85,willst
86,eins
87,palast
88,beweisvideo
89,dreh
90,gangster
91,lila
92,hemso
93,bandit
94,mache
95,akzeptieren
96,fick
97,tragen
98,verkaufen
99,müssen
100,move
101,viertel
102,umsatzfixiert
103,uh
104,dreieinhalb
105,schmeckt
106,zigarette
107,lad
108,prozent
109,taschen
110,bullen
111,zweitausend
112,nutzen
113,knast
114,kehrseite
115,olle
116,siebziger
117,geld
118,riesenella
119,heuen
120,dunkelheit
121,leicht
122,revier
123,vielleicht
124,zwei
125,kommen
126,neue
127,batzen
128,grad
129,zerreisst
130,deutsch
131,ey
132,stiefvater
133,hah
134,star
135,ja
136,morgen
137,rauchen
138,stein
139,geldbatzen
140,patronn
141,nonstop
142,zeig
143,film
144,start
145,lx
146,flex
147,unterkiefer
148,38
149,nullsechsneun
150,gutes
151,gras
152,bleib
153,krimineller
154,clips
155,ab
156,gern
157,colt
158,euro
159,strasse
160,trau
161,rrah
162,achtzehnkaratgoldrolex
163,digiwaage
164,scheiss
165,gangstermentalität
166,pitbull
167,schein
168,gehen
169,paket
170,gegend
171,gestern
172,drogen
173,drehen
174,casino
175,andre
176,gebe
177,sextape
178,guck
179,lieg
180,wärt
181,bitch
182,justin
183,ziel
184,schluss
185,malibu
186,beamer
187,gefickt
188,immer
189,entspannt
190,yeahey
191,brauch
192,sonnenbank
193,oh
194,fahr
195,balenciaga
196,nacht
197,lover
198,real
199,hahaha
200,regnen
201,aschen
202,stehen
203,bringen
204,mal
205,seh
206,sonnebrille
207,benzin
208,malimalibu
209,dreh
210,lila
211,mache
212,beim
213,undercover
214,müssen
215,mama
216,gas
217,boboboboboss
218,einholen
219,kontostand
220,ironix
221,katja
222,damals
223,grosses
224,hater
225,vollen
226,roll
227,neuen
228,liga
229,kommen
230,gold
231,rosarot
232,stehn
233,g—
234,highway
235,ran
236,star
237,ja
238,one
239,morgen
240,nächstes
241,team
242,seid
243,lang
244,danach
245,bleib
246,grüssen
247,bald
248,wand
249,bieber
250,ackern
251,rückbank
252,platinvisa
253,stadt
254,casicasino
255,richtung
256,spanner
257,klau
258,lass
259,mhmh
260,spieler
261,sonnenbrille
262,neid
263,spiegel
264,rand
265,kameras
266,tank
267,versehn
268,meim
269,wrrmwrrm
270,sprite
271,wächst
272,maschine
273,sag
274,liebe
275,gebe
276,mögen
277,kurve
278,90er
279,bewege
280,rad
281,profile
282,schon
283,hehe
284,bruder
285,mitte
286,kenn
287,draussen
288,geparkt
289,helm
290,immer
291,vorm
292,brauch
293,presidencial
294,brrt
295,kalasch
296,modell
297,schreien
298,heb
299,nacht
300,bisschen
301,jed
302,club
303,mehr
304,ganze
305,pupille
306,ratatatatatat
307,stehen
308,kontrolliert
309,guckt
310,biene
311,miese
312,opiat
313,astoria
314,kawasaki
315,fahrn
316,gas
317,hotel
318,termine
319,weeissen
320,matt
321,klapp
322,skandal
323,zerfetz
324,suite
325,warten
326,taille
327,drücke
328,schlaf
329,drauf
330,ja
331,keinn
332,gefährlich
333,heben
334,gramm
335,geb
336,mann
337,ende
338,hinteres
339,ab
340,mdma
341,sportliches
342,oberfläche
343,gasolina
344,lass
345,gehen
346,gleich
347,–
348,knöpfe
349,geisteskrank
350,rap
351,bringn
352,zuhaus
353,drei
354,knalln
355,block
356,sinds
357,lieg’
358,gebe
359,wow
360,mutter
361,knallen
362,iphone
363,’ne
364,lassens
365,fühl
366,kommn
367,guck
368,deinn
369,halt
370,beton
371,seh’
372,freitagnacht
373,laufen
374,rolex
375,marke
376,geisterstadt
377,leben
378,bruder
379,frei
380,streit
381,prallt
382,wer
383,nutten
384,minus
385,villa
386,voll
387,draussen
388,helikopter
389,mailand
390,hören
391,immer
392,trainingsjogger
393,woahwoah
394,zeit
395,designerfummeln
396,nummer
397,fühl’
398,oh
399,reich
400,heb
401,bulli
402,bau
403,knockout
404,nacht
405,killer
406,kontakt
407,hör
408,yeah
409,gemixt
410,kids
411,geblockt
412,lassen’s
413,zähl
414,nem
415,wuhh
416,häng
417,swat
418,wumme
419,einzelhaft
420,mal
421,scheine
422,geh
423,rockstar
424,blocks
425,hunderttausend
426,wohnung
427,kein’n
428,verkaufen
429,sound
430,müssen
431,singles
432,stock
433,dach
434,finst
435,gitarre
436,bullen
437,hunde
438,schotter
439,gemacht
440,80erpop
441,heuen
442,name
443,bilder
444,pushen
445,cyberpunks
446,mond
447,leistung
448,wach
449,kommen
450,achtzehnten
451,grad
452,junkies
453,broke
454,verwandel
455,traum
456,ach
457,buhbuh
458,woahohoh
459,tod
460,spiel
461,crossover
462,korrekt
463,drucken
464,kopf
465,dreizehn
466,kinder
467,fliegen
468,schwach
469,kurz
470,lauter
471,einsatzkommandos
472,ab
473,gott
474,entweder
475,bitches
476,hunger
477,molotows
478,polizei
479,leb
480,uhr
481,schlafen
482,lass
483,schloss
484,tausend
485,ah
486,dschungel
487,runterfällt
488,leute
489,passiert
490,rb
491,liebe
492,doublecup
493,shabab
494,werd
495,bitten
496,hinterhof
497,komm
498,22gz
499,hood
500,tag
501,hinten
502,entspannt
503,symba
504,engel
505,basar
506,bete
507,nacht
508,kleine
509,jed
510,unsern
511,gebrochen
512,stickle
513,dreissig
514,höchstens
515,blaue
516,tür
517,zähl
518,berlin
519,ofb
520,alt
521,pradabag
522,scheine
523,tausender
524,niketattoo
525,geh
526,raus
527,fahrn
528,chillen
529,lacostetattoo
530,meinn
531,cano
532,ruf
533,bauch
534,hörn
535,narben
536,geld
537,heuen
538,2000
539,alte
540,haut
541,zwei
542,gefalln
543,neue
544,lange
545,nein
546,ey
547,flügel
548,wolln
549,traum
550,asics
551,rauskommen
552,sagen
553,seeln
554,gramm
555,tncap
556,bein
557,film
558,knie
559,fühlen
560,armen
561,canım
562,verdienen
563,raucht
564,kalt
565,tns
566,zählen
567,irgendwann
568,pasha
569,schein
570,berlincrimewave
571,gucken
572,tracksuit
573,hauseingang
574,locken
575,meim
576,rock
577,wegen
578,leute
579,schweigen
580,frage
581,sag
582,erden
583,geben
584,irgendwie
585,geworden
586,lieg
587,nachlässt
588,beginnen
589,bueno
590,schon
591,mensch
592,mailbox
593,deim
594,niemand
595,gift
596,letzten
597,nix
598,immer
599,zeit
600,sterben
601,wörter
602,oh
603,oft
604,gross
605,ego
606,baby
607,kürzer
608,anmerken
609,begegnung
610,kick
611,mehr
612,rein
613,tür
614,scherben
615,lamborghini
616,willst
617,geh
618,lauf
619,nie
620,schönste
621,gar
622,sechs
623,6
624,rum
625,fragen
626,strassen
627,weeissen
628,verschwendet
629,teile
630,geld
631,eingang
632,allein
633,fresse
634,zerreisst
635,ja
636,zweite
637,gewartet
638,apartment
639,spiegelbild
640,drin
641,sagen
642,reinkann
643,spiel
644,jage
645,lang
646,ende
647,beliebt
648,warum
649,hennessy
650,steh
651,vertragen
652,strophen
653,geblieben
654,morgens
655,grund
656,uhr
657,lass
658,erkenne
659,glaub
660,desto
661,gleich
662,meim
663,miksu
664,aufs
665,echt
666,find
667,yeahyeah
668,frage
669,sag
670,wieso
671,feierst
672,hast
673,phasen
674,gaspedal
675,i8
676,schon
677,treibst
678,rase
679,highhigh
680,voll
681,wonach
682,mitternacht
683,seit
684,alkohol
685,fahr
686,frag
687,wort
688,ampeln
689,yeahyeahyeah
690,beid
691,blass
692,glas
693,vermisst
694,idiot
695,wann
696,rufen
697,nem
698,ganz
699,drück
700,mal
701,siebtes
